prec_no,block_no,name,kind,pref_name,year,hot_days,flag
11,0002,沓形,a,宗谷地方,2016,0.0,
11,0002,沓形,a,宗谷地方,2017,0.0,
11,0002,沓形,a,宗谷地方,2018,0.0,
11,0002,沓形,a,宗谷地方,2019,0.0,
11,0002,沓形,a,宗谷地方,2020,0.0,
11,0002,沓形,a,宗谷地方,2021,0.0,
11,0002,沓形,a,宗谷地方,2022,0.0,
11,0002,沓形,a,宗谷地方,2023,0.0,
11,0002,沓形,a,宗谷地方,2024,0.0,
11,0002,沓形,a,宗谷地方,2025,0.0,
11,0003,浜頓別,a,宗谷地方,2016,0.0,
11,0003,浜頓別,a,宗谷地方,2017,0.0,
11,0003,浜頓別,a,宗谷地方,2018,0.0,
11,0003,浜頓別,a,宗谷地方,2019,0.0,
11,0003,浜頓別,a,宗谷地方,2020,0.0,
11,0003,浜頓別,a,宗谷地方,2021,0.0,
11,0003,浜頓別,a,宗谷地方,2022,0.0,
11,0003,浜頓別,a,宗谷地方,2023,0.0,
11,0003,浜頓別,a,宗谷地方,2024,0.0,
11,0003,浜頓別,a,宗谷地方,2025,0.0,
11,0005,歌登,a,宗谷地方,2016,0.0,
11,0005,歌登,a,宗谷地方,2017,0.0,
11,0005,歌登,a,宗谷地方,2018,0.0,
11,0005,歌登,a,宗谷地方,2019,0.0,
11,0005,歌登,a,宗谷地方,2020,0.0,
11,0005,歌登,a,宗谷地方,2021,1.0,
11,0005,歌登,a,宗谷地方,2022,0.0,
11,0005,歌登,a,宗谷地方,2023,1.0,
11,0005,歌登,a,宗谷地方,2024,0.0,
11,0005,歌登,a,宗谷地方,2025,0.0,
11,1051,中頓別,a,宗谷地方,2016,0.0,
11,1051,中頓別,a,宗谷地方,2017,0.0,
11,1051,中頓別,a,宗谷地方,2018,1.0,
11,1051,中頓別,a,宗谷地方,2019,0.0,
11,1051,中頓別,a,宗谷地方,2020,0.0,
11,1051,中頓別,a,宗谷地方,2021,3.0,
11,1051,中頓別,a,宗谷地方,2022,0.0,
11,1051,中頓別,a,宗谷地方,2023,0.0,
11,1051,中頓別,a,宗谷地方,2024,0.0,
11,1051,中頓別,a,宗谷地方,2025,0.0,
11,1054,豊富,a,宗谷地方,2016,0.0,
11,1054,豊富,a,宗谷地方,2017,0.0,
11,1054,豊富,a,宗谷地方,2018,0.0,
11,1054,豊富,a,宗谷地方,2019,0.0,
11,1054,豊富,a,宗谷地方,2020,0.0,
11,1054,豊富,a,宗谷地方,2021,0.0,
11,1054,豊富,a,宗谷地方,2022,0.0,
11,1054,豊富,a,宗谷地方,2023,0.0,
11,1054,豊富,a,宗谷地方,2024,0.0,
11,1054,豊富,a,宗谷地方,2025,0.0,]
11,1203,沼川,a,宗谷地方,2016,0.0,
11,1203,沼川,a,宗谷地方,2017,0.0,
11,1203,沼川,a,宗谷地方,2018,0.0,
11,1203,沼川,a,宗谷地方,2019,0.0,
11,1203,沼川,a,宗谷地方,2020,0.0,
11,1203,沼川,a,宗谷地方,2021,0.0,
11,1203,沼川,a,宗谷地方,2022,0.0,
11,1203,沼川,a,宗谷地方,2023,0.0,
11,1203,沼川,a,宗谷地方,2024,0.0,
11,1203,沼川,a,宗谷地方,2025,0.0,
11,1284,宗谷岬,a,宗谷地方,2016,0.0,
11,1284,宗谷岬,a,宗谷地方,2017,0.0,
11,1284,宗谷岬,a,宗谷地方,2018,0.0,
11,1284,宗谷岬,a,宗谷地方,2019,0.0,
11,1284,宗谷岬,a,宗谷地方,2020,0.0,
11,1284,宗谷岬,a,宗谷地方,2021,0.0,
11,1284,宗谷岬,a,宗谷地方,2022,0.0,
11,1284,宗谷岬,a,宗谷地方,2023,0.0,
11,1284,宗谷岬,a,宗谷地方,2024,0.0,
11,1284,宗谷岬,a,宗谷地方,2025,0.0,
11,1285,浜鬼志別,a,宗谷地方,2016,0.0,
11,1285,浜鬼志別,a,宗谷地方,2017,0.0,
11,1285,浜鬼志別,a,宗谷地方,2018,0.0,
11,1285,浜鬼志別,a,宗谷地方,2019,0.0,
11,1285,浜鬼志別,a,宗谷地方,2020,0.0,
11,1285,浜鬼志別,a,宗谷地方,2021,0.0,
11,1285,浜鬼志別,a,宗谷地方,2022,0.0,
11,1285,浜鬼志別,a,宗谷地方,2023,0.0,]
11,1285,浜鬼志別,a,宗谷地方,2024,0.0,
11,1285,浜鬼志別,a,宗谷地方,2025,0.0,
11,1512,本泊,a,宗谷地方,2016,0.0,
11,1512,本泊,a,宗谷地方,2017,0.0,
11,1512,本泊,a,宗谷地方,2018,0.0,
11,1512,本泊,a,宗谷地方,2019,0.0,
11,1512,本泊,a,宗谷地方,2020,0.0,
11,1512,本泊,a,宗谷地方,2021,0.0,
11,1512,本泊,a,宗谷地方,2022,0.0,
11,1512,本泊,a,宗谷地方,2023,0.0,
11,1512,本泊,a,宗谷地方,2024,0.0,
11,1512,本泊,a,宗谷地方,2025,0.0,
11,1528,声問,a,宗谷地方,2016,0.0,
11,1528,声問,a,宗谷地方,2017,0.0,
11,1528,声問,a,宗谷地方,2018,0.0,
11,1528,声問,a,宗谷地方,2019,0.0,
11,1528,声問,a,宗谷地方,2020,0.0,
