prec_no,block_no,name,kind,pref_name
11,0002,沓形,a,宗谷地方
11,0003,浜頓別,a,宗谷地方
11,0005,歌登,a,宗谷地方
11,1051,中頓別,a,宗谷地方
11,1054,豊富,a,宗谷地方
11,1203,沼川,a,宗谷地方
11,1207,船泊,a,宗谷地方
11,1284,宗谷岬,a,宗谷地方
11,1285,浜鬼志別,a,宗谷地方
11,1512,本泊,a,宗谷地方
11,1528,声問,a,宗谷地方
11,1546,礼文,a,宗谷地方
11,1573,幌延,a,宗谷地方
11,1593,幌泊,a,宗谷地方
11,1656,礼文上泊埼,a,宗谷地方
11,47401,稚内,s,宗谷地方
11,47402,北見枝幸,s,宗谷地方
12,0006,美深,a,上川地方
12,0007,ピヤシリ山,a,上川地方
12,0008,名寄,a,上川地方
12,0009,西風連,a,上川地方
12,0010,下川,a,上川地方
12,0011,士別,a,上川地方
12,0012,犬牛別峠,a,上川地方
12,0013,雄鷹峰,a,上川地方
12,0014,蓬莱山,a,上川地方
12,0015,上川,a,上川地方
12,0017,瑞穂,a,上川地方
12,0018,終沢,a,上川地方
12,0019,旭岳,a,上川地方
12,0020,白金,a,上川地方
12,0021,富良野,a,上川地方
12,0022,前富良野岳,a,上川地方
12,0023,前時雨山,a,上川地方
12,1047,朝日,a,上川地方
12,1048,比布,a,上川地方
12,1049,層雲峡,a,上川地方
12,1052,美瑛,a,上川地方
12,1053,幌加内,a,上川地方
12,1055,和寒,a,上川地方
12,1184,東川,a,上川地方
12,1185,志比内,a,上川地方
12,1188,幾寅,a,上川地方
12,1189,占冠,a,上川地方
12,1190,上富良野,a,上川地方
12,1191,江丹別,a,上川地方
12,1197,音威子府,a,上川地方
12,1201,中川,a,上川地方
12,1279,朱鞠内,a,上川地方
12,1280,麓郷,a,上川地方
12,1458,東神楽,a,上川地方
12,1570,小車,a,上川地方
12,1572,剣淵,a,上川地方
12,1574,金山,a,上川地方
12,47407,旭川,s,上川地方
13,0024,天塩,a,留萌地方
13,0025,遠別,a,留萌地方
13,0028,増毛,a,留萌地方
13,1112,古丹別,a,留萌地方
13,1213,焼尻,a,留萌地方
13,1216,初山別,a,留萌地方
13,1217,達布,a,留萌地方
13,1218,幌糠,a,留萌地方
13,47404,羽幌,s,留萌地方
13,47406,留萌,s,留萌地方
14,0029,阿曽岩,a,石狩地方
14,0030,新篠津,a,石狩地方
14,0031,山口,a,石狩地方
14,0032,手稲山,a,石狩地方
14,0034,小金湯,a,石狩地方
14,0035,恵庭島松,a,石狩地方
14,0036,島松山,a,石狩地方
14,0037,支笏湖畔,a,石狩地方
14,1076,西野幌,a,石狩地方
14,1085,石狩,a,石狩地方
14,1193,浜益,a,石狩地方
14,1194,厚田,a,石狩地方
14,1459,千歳,a,石狩地方
14,1507,江別,a,石狩地方
14,47412,札幌,s,石狩地方
15,0038,石狩沼田,a,空知地方
15,0039,深川,a,空知地方
15,0040,常盤山,a,空知地方
15,0041,滝川,a,空知地方
15,0042,神威岳,a,空知地方
15,0043,芦別,a,空知地方
15,0044,美唄,a,空知地方
15,0046,下桂沢,a,空知地方
15,0047,長沼,a,空知地方
15,0048,丁未山,a,空知地方
15,0049,夕張,a,空知地方
15,0050,登川山,a,空知地方
15,0999,月形,a,空知地方
15,1068,栗沢,a,空知地方
15,1270,晩生内,a,空知地方
15,1271,桜山,a,空知地方
15,1287,空知吉野,a,空知地方
15,1400,浦臼,a,空知地方
15,1401,鹿島,a,空知地方
15,1402,沼の沢,a,空知地方
15,1419,新城,a,空知地方
15,1566,赤平,a,空知地方
15,1567,雨竜,a,空知地方
15,1674,秩父別,a,空知地方
15,47413,岩見沢,s,空知地方
16,0051,美国,a,後志地方
16,0052,余市,a,後志地方
16,0054,共和,a,後志地方
16,0055,蘭越,a,後志地方
16,0057,脇方台地,a,後志地方
16,0059,桂台,a,後志地方
16,0060,喜茂別,a,後志地方
16,0061,黒松内,a,後志地方
16,1072,真狩,a,後志地方
16,1091,赤井川,a,後志地方
16,1208,神恵内,a,後志地方
16,1615,ニセコ,a,後志地方
16,47411,小樽,s,後志地方
16,47421,寿都,s,後志地方
16,47433,倶知安,s,後志地方
17,0063,興部,a,網走・北見・紋別地方
17,0065,湧別,a,網走・北見・紋別地方
17,0066,滝上,a,網走・北見・紋別地方
17,0067,上藻別,a,網走・北見・紋別地方
17,0068,常呂,a,網走・北見・紋別地方
17,0069,遠軽,a,網走・北見・紋別地方
17,0070,佐呂間,a,網走・北見・紋別地方
17,0072,生田原,a,網走・北見・紋別地方
17,0073,仁頃山,a,網走・北見・紋別地方
17,0074,北見,a,網走・北見・紋別地方
17,0075,小清水,a,網走・北見・紋別地方
17,0076,斜里,a,網走・北見・紋別地方
17,0077,留辺蘂,a,網走・北見・紋別地方
17,0078,留辺蘂山,a,網走・北見・紋別地方
17,0079,美幌,a,網走・北見・紋別地方
17,0080,藻琴山,a,網走・北見・紋別地方
17,0081,チミケップ山,a,網走・北見・紋別地方
17,0082,津別,a,網走・北見・紋別地方
17,0083,北見中山,a,網走・北見・紋別地方
17,0981,宇登呂,a,網走・北見・紋別地方
17,1073,西興部,a,網走・北見・紋別地方
17,1092,白滝,a,網走・北見・紋別地方
17,1209,境野,a,網走・北見・紋別地方
17,1263,東藻琴,a,網走・北見・紋別地方
17,1420,丸瀬布,a,網走・北見・紋別地方
17,1460,女満別,a,網走・北見・紋別地方
17,1487,紋別小向,a,網走・北見・紋別地方
17,1568,津別二又,a,網走・北見・紋別地方
17,1569,置戸常元,a,網走・北見・紋別地方
17,1617,山園,a,網走・北見・紋別地方
17,47405,雄武,s,網走・北見・紋別地方
17,47409,網走,s,網走・北見・紋別地方
17,47435,紋別,s,網走・北見・紋別地方
18,0084,羅臼,a,根室地方
18,0085,標津,a,根室地方
18,0086,中標津,a,根室地方
18,0087,計根別,a,根室地方
18,0088,別海,a,根室地方
18,1056,納沙布,a,根室地方
18,1196,厚床,a,根室地方
18,1266,糸櫛別,a,根室地方
18,1489,根室中標津,a,根室地方
18,1547,上標津,a,根室地方
18,47420,根室,s,根室地方
19,0090,川湯,a,釧路地方
19,0091,阿寒湖畔,a,釧路地方
19,0092,弟子屈,a,釧路地方
19,0093,標茶,a,釧路地方
19,0094,幌呂台地,a,釧路地方
19,0095,中徹別,a,釧路地方
19,0096,阿寒,a,釧路地方
19,0097,霧多布,a,釧路地方
19,0098,白糠,a,釧路地方
19,1107,二俣,a,釧路地方
19,1186,鶴居,a,釧路地方
19,1187,弟子屈,a,釧路地方
19,1192,太田,a,釧路地方
19,1195,榊町,a,釧路地方
19,1283,知方学,a,釧路地方
19,1403,塘路,a,釧路地方
19,1417,茶内原野,a,釧路地方
19,1461,鶴丘,a,釧路地方
19,47418,釧路,s,釧路地方
20,0100,軍艦山,a,十勝地方
20,0101,陸別,a,十勝地方
20,0102,殖産高地,a,十勝地方
20,0103,ぬかびら源泉郷,a,十勝地方
20,0104,小坂山,a,十勝地方
20,0105,上足寄,a,十勝地方
20,0106,西ヌプカウシ山,a,十勝地方
20,0107,上士幌,a,十勝地方
20,0108,幌安山,a,十勝地方
20,0109,足寄,a,十勝地方
20,0110,佐幌岳,a,十勝地方
20,0111,三角山,a,十勝地方
20,0112,本別,a,十勝地方
20,0113,新得,a,十勝地方
20,0114,鹿追,a,十勝地方
20,0115,芽室,a,十勝地方
20,0117,池田,a,十勝地方
20,0118,浦幌,a,十勝地方
20,0119,帯広岳,a,十勝地方
20,0120,ひょうたん沢,a,十勝地方
20,0121,大樹,a,十勝地方
20,1099,三国山,a,十勝地方
20,1204,駒場,a,十勝地方
20,1210,上札内,a,十勝地方
20,1211,更別,a,十勝地方
20,1214,大津,a,十勝地方
20,1286,糠内,a,十勝地方
20,1404,小利別,a,十勝地方
20,1405,押帯,a,十勝地方
20,1409,柏倉,a,十勝地方
20,1410,上螺湾,a,十勝地方
20,1418,留真,a,十勝地方
20,1510,帯広泉,a,十勝地方
20,1571,三股,a,十勝地方
20,47417,帯広,s,十勝地方
20,47440,広尾,s,十勝地方
21,0123,安平,a,胆振地方
21,0124,厚真,a,胆振地方
21,0125,穂別,a,胆振地方
21,0126,森野,a,胆振地方
21,0128,大岸,a,胆振地方
21,0129,有珠山,a,胆振地方
21,0130,白老,a,胆振地方
21,0131,鵡川,a,胆振地方
21,0132,伊達,a,胆振地方
21,0133,登別山,a,胆振地方
21,0134,登別,a,胆振地方
21,1067,大滝,a,胆振地方
21,1329,洞爺湖温泉,a,胆振地方
21,1429,カルルス,a,胆振地方
21,1496,豊浦,a,胆振地方
21,1498,花和,a,胆振地方
21,1499,虻田,a,胆振地方
21,1500,壮瞥,a,胆振地方
21,1501,入江,a,胆振地方
21,1502,月浦,a,胆振地方
21,1503,北有珠,a,胆振地方
21,1504,洞爺湖畔,a,胆振地方
21,1665,厚真幌内,a,胆振地方
21,47423,室蘭,s,胆振地方
21,47424,苫小牧,s,胆振地方
22,0136,日高門別,a,日高地方
22,0137,新和,a,日高地方
22,0138,ヌモトル山,a,日高地方
22,0139,笹山,a,日高地方
22,0140,静内,a,日高地方
22,0141,ピセナイ山,a,日高地方
22,1097,仁世宇,a,日高地方
