prec_no,block_no,name,kind,pref_name,total_hot_days,mean_hot_days,max_hot_days,years_with_data,coverage
83,47814,日田,s,大分県,353.0,35.3,62.0,10,1.0
52,1058,多治見,a,岐阜県,340.0,34.0,59.0,10,1.0
61,47759,京都,s,京都府,328.0,32.8,61.0,10,1.0
82,0790,久留米,a,福岡県,309.0,30.9,54.0,10,1.0
43,1232,鳩山,a,埼玉県,304.0,30.4,51.0,10,1.0
51,0464,豊田,a,愛知県,302.0,30.2,57.0,10,1.0
82,1141,太宰府,a,福岡県,301.0,30.1,62.0,10,1.0
42,0356,館林,a,群馬県,300.0,30.0,54.0,10,1.0
62,1065,枚方,a,大阪府,294.0,29.4,51.0,10,1.0
42,0351,桐生,a,群馬県,292.0,29.2,58.0,10,1.0
52,1057,美濃,a,岐阜県,291.0,29.1,57.0,10,1.0
43,47626,熊谷,s,埼玉県,289.0,28.9,53.0,10,1.0
41,1018,佐野,a,栃木県,286.0,28.6,49.0,10,1.0
49,0433,勝沼,a,山梨県,285.0,28.5,50.0,10,1.0
63,0968,福崎,a,兵庫県,285.0,28.5,56.0,10,1.0
49,47638,甲府,s,山梨県,281.0,28.1,59.0,10,1.0
61,0598,京田辺,a,京都府,281.0,28.1,60.0,10,1.0
42,1021,伊勢崎,a,群馬県,280.0,28.0,51.0,10,1.0
52,1301,揖斐川,a,岐阜県,276.0,27.6,53.0,10,1.0
61,0593,福知山,a,京都府,276.0,27.6,58.0,10,1.0
52,0496,大垣,a,岐阜県,268.0,26.8,58.0,10,1.0
62,0602,豊中,a,大阪府,268.0,26.8,47.0,10,1.0
52,47632,岐阜,s,岐阜県,266.0,26.6,51.0,10,1.0
52,0491,美濃加茂,a,岐阜県,259.0,25.9,51.0,10,1.0
67,0951,府中,a,広島県,257.0,25.7,57.0,10,1.0
66,0930,高梁,a,岡山県,256.0,25.6,56.0,10,1.0
63,47747,豊岡,s,兵庫県,253.0,25.3,44.0,10,1.0
62,47772,大阪,s,大阪府,251.0,25.1,45.0,10,1.0
86,47819,熊本,s,熊本県,248.0,24.8,51.0,10,1.0
85,47813,佐賀,s,佐賀県,248.0,24.8,47.0,10,1.0
64,47780,奈良,s,奈良県,247.0,24.7,51.0,10,1.0
51,47636,名古屋,s,愛知県,247.0,24.7,52.0,10,1.0
72,47891,高松,s,香川県,245.0,24.5,48.0,10,1.0
66,47768,岡山,s,岡山県,244.0,24.4,48.0,10,1.0
74,1235,江川崎,a,高知県,242.0,24.2,50.0,10,1.0
