prec_no,block_no,name,kind,pref_name,total_hot_days,mean_hot_days,max_hot_days,years_with_data,coverage,name_norm,amedas_code,kjName,knName,lat,lon,alt
83,47814,日田,s,大分県,353.0,35.3,62.0,10,1.0,日田,83137,日田,ヒタ,33.321666666666665,130.92833333333334,83
52,1058,多治見,a,岐阜県,340.0,34.0,59.0,10,1.0,多治見,52606,多治見,タジミ,35.346666666666664,137.10833333333332,120
61,47759,京都,s,京都府,328.0,32.8,61.0,10,1.0,京都,61286,京都,キョウト,35.013333333333335,135.73166666666665,41
82,0790,久留米,a,福岡県,309.0,30.9,54.0,10,1.0,久留米,82306,久留米,クルメ,33.303333333333335,130.49333333333334,7
43,1232,鳩山,a,埼玉県,304.0,30.4,51.0,10,1.0,鳩山,43171,鳩山,ハトヤマ,35.985,139.335,44
51,0464,豊田,a,愛知県,302.0,30.2,57.0,10,1.0,豊田,51116,豊田,トヨタ,35.13166666666667,137.17666666666668,75
82,1141,太宰府,a,福岡県,301.0,30.1,62.0,10,1.0,太宰府,82191,太宰府,ダザイフ,33.49666666666667,130.49,52
42,0356,館林,a,群馬県,300.0,30.0,54.0,10,1.0,館林,42366,館林,タテバヤシ,36.24,139.51333333333332,23
62,1065,枚方,a,大阪府,294.0,29.4,51.0,10,1.0,枚方,62046,枚方,ヒラカタ,34.80833333333333,135.67166666666665,26
42,0351,桐生,a,群馬県,292.0,29.2,58.0,10,1.0,桐生,42266,桐生,キリュウ,36.41,139.325,117
52,1057,美濃,a,岐阜県,291.0,29.1,57.0,10,1.0,美濃,52461,美濃,ミノ,35.555,136.91,68
43,47626,熊谷,s,埼玉県,289.0,28.9,53.0,10,1.0,熊谷,43056,熊谷,クマガヤ,36.15,139.38,30
41,1018,佐野,a,栃木県,286.0,28.6,49.0,10,1.0,佐野,41361,佐野,サノ,36.36333333333334,139.57,68
49,0433,勝沼,a,山梨県,285.0,28.5,50.0,10,1.0,勝沼,49151,勝沼,カツヌマ,35.663333333333334,138.725,394
63,0968,福崎,a,兵庫県,285.0,28.5,56.0,10,1.0,福崎,63321,福崎,フクサキ,34.95,134.74833333333333,72
49,47638,甲府,s,山梨県,281.0,28.1,59.0,10,1.0,甲府,49142,甲府,コウフ,35.666666666666664,138.55333333333334,273
61,0598,京田辺,a,京都府,281.0,28.1,60.0,10,1.0,京田辺,61326,京田辺,キョウタナベ,34.83,135.76,20
42,1021,伊勢崎,a,群馬県,280.0,28.0,51.0,10,1.0,伊勢崎,42302,伊勢崎,イセサキ,36.33166666666666,139.165,64
52,1301,揖斐川,a,岐阜県,276.0,27.6,53.0,10,1.0,揖斐川,52511,揖斐川,イビガワ,35.485,136.56666666666666,45
61,0593,福知山,a,京都府,276.0,27.6,58.0,10,1.0,福知山,61187,福知山,フクチヤマ,35.31166666666667,135.11333333333334,17
52,0496,大垣,a,岐阜県,268.0,26.8,58.0,10,1.0,大垣,52581,大垣,オオガキ,35.346666666666664,136.62,6
62,0602,豊中,a,大阪府,268.0,26.8,47.0,10,1.0,豊中,62051,豊中,トヨナカ：大阪国際空港,34.78333333333333,135.43833333333333,12
52,47632,岐阜,s,岐阜県,266.0,26.6,51.0,10,1.0,岐阜,52586,岐阜,ギフ,35.4,136.76166666666666,13
52,0491,美濃加茂,a,岐阜県,259.0,25.9,51.0,10,1.0,美濃加茂,52536,美濃加茂,ミノカモ,35.445,137.005,74
67,0951,府中,a,広島県,257.0,25.7,57.0,10,1.0,府中,67326,府中,フチュウ,34.56166666666667,133.23166666666665,70
66,0930,高梁,a,岡山県,256.0,25.6,56.0,10,1.0,高梁,66336,高梁,タカハシ,34.791666666666664,133.61,60
63,47747,豊岡,s,兵庫県,253.0,25.3,44.0,10,1.0,豊岡,63051,豊岡,トヨオカ,35.535,134.82166666666666,3
62,47772,大阪,s,大阪府,251.0,25.1,45.0,10,1.0,大阪,62078,大阪,オオサカ,34.681666666666665,135.51833333333335,23
86,47819,熊本,s,熊本県,248.0,24.8,51.0,10,1.0,熊本,86141,熊本,クマモト,32.81333333333333,130.70666666666668,38
